464;1945,30;514
465;1947,39;513
466;1949,47;512
467;1951,56;512
468;1953,64;511
469;1955,72;511
470;1957,80;510
471;1959,88;510
472;1961,95;509
473;1964,02;509
474;1966,09;508
475;1968,16;508
476;1970,23;507
477;1972,29;507
478;1974,35;506
479;1976,41;505
480;1978,47;505
481;1980,52;504
482;1982,57;504
483;1984,62;503
484;1986,67;503
485;1988,72;502
486;1990,76;502
487;1992,80;501
488;1994,84;501
489;1996,88;500
490;1998,92;500
491;2000,95;499
492;2002,98;499
493;2005,01;498
494;2007,04;498
495;2009,06;497
496;2011,09;497
497;2013,11;496
498;2015,13;496
499;2017,14;495
500;2019,16;495
501;2021,17;494
502;2023,18;494
503;2025,19;493
504;2027,20;493
505;2029,21;492
506;2031,21;492
507;2033,21;491
508;2035,21;491
509;2037,21;490
510;2039,20;490
511;2041,20;489
512;2043,19;489
513;2045,18;488
514;2047,16;488
515;2049,15;488
516;2051,13;487
517;2053,12;487
518;2055,10;486
519;2057,07;486
520;2059,05;485
521;2061,02;485
522;2063,00;484
523;2064,97;484
524;2066,93;483
525;2068,90;483
526;2070,87;482
527;2072,83;482
528;2074,79;481
529;2076,75;481
530;2078,71;481
531;2080,66;480
532;2082,62;480
533;2084,57;479
534;2086,52;479
535;2088,47;478
536;2090,41;478
537;2092,36;477
538;2094,30;477
539;2096,24;477
540;2098,18;476
541;2100,12;476
542;2102,05;475
543;2103,99;475
544;2105,92;474
545;2107,85;474
546;2109,78;473
547;2111,71;473
548;2113,63;473
549;2115,55;472
550;2117,48;472
551;2119,40;471
552;2121,31;471
553;2123,23;470
554;2125,15;470
555;2127,06;470
556;2128,97;469
557;2130,88;469
558;2132,79;468
559;2134,69;468
560;2136,60;468
561;2138,50;467
562;2140,40;467
563;2142,30;466
564;2144,20;466
565;2146,09;465
566;2147,99;465
567;2149,88;465
568;2151,77;464
569;2153,66;464
570;2155,55;463
571;2157,43;463
572;2159,32;463
573;2161,20;462
574;2163,08;462
575;2164,96;461
576;2166,84;461
577;2168,71;461
578;2170,59;460
579;2172,46;460
580;2174,33;459
581;2176,20;459
582;2178,07;459
583;2179,94;458
584;2181,80;458
585;2183,67;457
586;2185,53;457
587;2187,39;457
588;2189,25;456
589;2191,10;456
590;2192,96;456
591;2194,81;455
592;2196,66;455
593;2198,51;454
594;2200,36;454
595;2202,21;454
596;2204,06;453
597;2205,90;453
598;2207,75;452
599;2209,59;452
600;2211,43;452
601;2213,26;451
602;2215,10;451
603;2216,94;451
604;2218,77;450
605;2220,60;450
606;2222,43;449
607;2224,26;449
608;2226,09;449
609;2227,92;448
610;2229,74;448
611;2231,56;448
612;2233,39;447
613;2235,21;447
614;2237,03;447
615;2238,84;446
616;2240,66;446
617;2242,47;445
618;2244,29;445
619;2246,10;445
620;2247,91;444
621;2249,72;444
622;2251,52;444
623;2253,33;443
624;2255,13;443
625;2256,94;443
626;2258,74;442
627;2260,54;442
628;2262,34;442
629;2264,13;441
630;2265,93;441
631;2267,72;440
632;2269,51;440
633;2271,31;440
634;2273,10;439
635;2274,88;439
636;2276,67;439
637;2278,46;438
638;2280,24;438
639;2282,02;438
640;2283,81;437
641;2285,59;437
642;2287,36;437
643;2289,14;436
644;2290,92;436
645;2292,69;436
646;2294,47;435
647;2296,24;435
648;2298,01;435
649;2299,78;434
650;2301,54;434
651;2303,31;434
652;2305,08;433
653;2306,84;433
654;2308,60;433
655;2310,36;432
656;2312,12;432
657;2313,88;432
658;2315,64;431
659;2317,39;431
660;2319,15;431
661;2320,90;430
662;2322,65;430
663;2324,40;430
